"Name","Status","Priority","Persona","Epic","Size","MVP","Acceptance Criteria (summary)","Source"
"AUR-033 Admin action auth/role check","Todo","P0","Admin","F1 Admin Monitoring","S","MVP","saveProviderMonitorConfigAction adds session + role guard; unauthorized calls return typed error; integration test confirms rejection","Code Audit (security)"
"AUR-038 Server action rate limiting","Todo","P0","Engineer","G1 Security Hardening","M","MVP","Login/register server actions apply rate limiting matching route handlers; exceeded limit returns typed response; integration test","Code Audit (security)"
"AUR-041 Next.js + Vitest + Turbo upgrade","Todo","P0","Engineer","G2 Dependency Security","M","MVP","next ≥16.2.6, vitest ≥3.2.6, turbo ≥2.9.14, brace-expansion override; build and tests pass","Code Audit (CVEs)"
"AUR-019 Command palette focus trap","Todo","P0 (a11y)","Sione","C3 Navigation Efficiency","S","MVP","Focus trapped in palette; Escape closes and returns focus; axe-core scan clean","Code Audit · accessibility-rule.md"
"AUR-011 Auth forms aria-live + aria-invalid","Todo","P0 (a11y)","Sione","C1 Auth UX","S","MVP","Error banners have role=alert/aria-live; invalid fields have aria-invalid + aria-describedby; axe-core clean","Code Audit · accessibility-rule.md"
"AUR-054 Signals cockpit tab ARIA","Todo","P0 (a11y)","Sione","H3 Table/Tab A11y","S","MVP","role=tablist/tab/tabpanel + aria-selected + keyboard navigation matching intelligence-analysis-tabs.tsx pattern; axe-core clean","Code Audit · accessibility-rule.md"
"AUR-035 force-dynamic on account routes","Todo","P0 (privacy)","Engineer","F2 Performance/Privacy","S","MVP","export const dynamic=""force-dynamic"" on account/settings and account/activity; build confirms non-static","Code Audit · user-specific-cache-rule.md"
"AUR-036 User-scoped cache key for loadLinkedAccounts","Todo","P0 (privacy)","Engineer","F2 Performance/Privacy","S","MVP","unstable_cache removed or keyed by user ID; unit test confirms distinct cache entries per user","Code Audit · user-specific-cache-rule.md"
"AUR-042 runUnifiedTradeWorkflow tests","Todo","P0","Engineer","G3 Test Coverage","M","MVP","Tests for sim buy, sim sell, risk gate fail, kill switch active, mode routing; deterministic fixtures; no mocked risk gate","Code Audit (financial safety)"
"AUR-043 runBrokerSupervisor tests","Todo","P0","Engineer","G3 Test Coverage","M","MVP","Tests for all-pass, capital guard fail, position limit fail, policy fail; typed error codes logged; transaction-wrapped","Code Audit (financial safety)"
"AUR-044 executeSimulationOrder tests","Todo","P0","Engineer","G3 Test Coverage","M","MVP","Tests for buy/sell success, insufficient cash, min_notional, reset (archive not delete); DB state verified per case","Code Audit (financial safety)"
"AUR-045 Signal/forecast pure function tests","Todo","P0","Engineer","G3 Test Coverage","M","MVP","Indicator tests: normal, MIN_BARS exact, below-MIN_BARS, flat series, NaN input; forecast determinism + bounds; no Math.random() in fixtures","Code Audit (financial safety)"
"AUR-010 Forgot password link","Todo","P0","Sione","C1 Auth UX","S","MVP","Link below password field and in error banner; routes to /forgot-password; i18n key; 44px tap target","PRD UX-06 · UX H3 Critical"
"AUR-025 Live lane promotion server action [Roadmap]","Todo","P0 [Roadmap]","Marta","D1 Live Readiness Gate","M","MVP [Roadmap]","Privileged server action only; verifies session + role + assertLiveReadinessGate; no URL param activation; system event logged; confirmation dialog","PRD LR-02"
"AUR-027 Persistent deactivate control [Roadmap-sim now]","Todo","P0 [Roadmap]","Marta","D2 AI Autonomy Control","M","MVP [Roadmap]","Deactivate button in /invest header when autonomy active; atomic DB write + PENDING cancel + log in one transaction; ≤30s latency","Autonomy PRD AUT-04, AUT-20, AUT-21"
"AUR-040 Content Security Policy","Todo","P1","Engineer","G1 Security Hardening","S","MVP","CSP includes default-src, script-src, object-src; delivered as HTTP header; no CSP violations in build","Code Audit (security)"
"AUR-039 Shared rate-limit store","Todo","P1","Engineer","G1 Security Hardening","M","MVP","Rate limiter backed by shared persistent store; persists across restarts; fails open with logging","Code Audit (security)"
"AUR-001 SIM badge on /market /signals /observe","Todo","P1","Theo","A1 Market Overview","S","MVP","Persistent SIMULATION badge on all three routes; WCAG AA contrast; screenshot regression","PRD UX-01 · UX H4 High"
"AUR-003 Remove ""No source URL"" from news","Todo","P1","Theo","A1 Market Overview","S","MVP","Suppress link when no href; fallback ""Source unavailable"" if needed; i18n key","UX H2 High"
"AUR-013 Fix 404 page copy","Todo","P1","Sione","C2 Simulation Trade Flow","S","MVP","Title ""Page not found""; description non-disclaimer copy; ""Go to Dashboard"" CTA; i18n key","PRD UX-07 · UX H2 High"
"AUR-012 Show/hide password toggle","Todo","P1","Sione","C1 Auth UX","S","MVP","Eye icon toggle button; aria-label toggles; applies to login + register forms","UX H5 Medium"
"AUR-018 Pre-trade risk gate visible in UI","Todo","P1","Sione","C2 Simulation Trade Flow","M","MVP","Risk gate summary on trade ticket; pass/fail per check; Submit disabled on failure; server-side read model","PRD RG-06"
"AUR-005 ConfidenceMeter threshold legend","Todo","P1","Theo","B1 Confidence/Explainability","S","MVP","Legend ≥70/40–69/<40/0; semantic fill color; i18n keys; WCAG AA; dead standalone component removed","PRD EX-05 · UX H1 Medium"
"AUR-032 Provider health matrix on /admin/monitoring","Todo","P1","Admin","F1 Admin Monitoring","M","MVP","Per-provider: last-call ts, status chip, latency, rate-limit state, fallback position; manual trigger server action","PRD AO-01 · Gap Audit"
"AUR-034 Live-readiness + kill-switch admin panels","Todo","P1","Admin","F1 Admin Monitoring","M","MVP","Readiness panel per account; kill-switch panel; operator halt action with confirmation; force-dynamic","PRD AO-03 · AO-04"
"AUR-037 Promise.all in portfolio/agent services","Todo","P1","Engineer","F2 Performance/Privacy","S","MVP","Independent awaits converted to Promise.all; dependent awaits remain sequential; typecheck passes","Code Audit · slow-route-performance-rule.md"
"AUR-046 Remove/reconcile dead order lifecycle code","Todo","P1","Engineer","G4 Dead Code/Reconciliation","M","MVP","order-state-machine.ts decision + sim-trade-workflow.ts removed; order-lifecycle-rule.md updated to reflect actual DB path","Code Audit"
"AUR-047 Reconcile runPreTradeRiskCheck naming","Todo","P1","Engineer","G4 Dead Code/Reconciliation","S","MVP","Named function created or rules/PRD updated to match real function; grep confirms usage before every order","Code Audit"
"AUR-049 i18n parity CI test","Todo","P1","Admin","G5 i18n","M","MVP","CI fails on missing keys; empty/loading/error keys added; all hardcoded strings from UX/gap audit replaced","PRD AC-02 · AC-03"
"AUR-050 Footer legal links complete","Todo","P1","Admin","G5 i18n","S","MVP","Footer has links to AI disclaimer, market-data disclaimer, cookie notice, contact/support; pages have correct content","PRD AC-04 · AC-05 · Gap Audit"
